vtu f_lam 
-0.2805344735679477 -0.8541507892889935 
-0.2738761989503024 -0.8203646275590525 
-0.1941270800889225 -0.5912929314241273 
-0.12775838145761392 -0.39701595563337216 
-0.08667562572436929 -0.25313110544951417 
-0.03979076544972539 -0.12094544953185712 
0.06626464277662178 0.20646554003135084 
0.07258538654676341 0.2233625789028712 
0.4844437896975079 1.4653709806328254 
0.5136394475024292 1.5529241723189686 
