,step,loss
0,0,0.025000002
5,5,0.016487272
10,10,0.011903034
15,15,0.009405318
20,20,0.008016497
25,25,0.0072176727
30,30,0.0067334166
35,35,0.0064175115
40,40,0.006192326
45,45,0.0060166246
50,50,0.005868493
55,55,0.005736268
60,60,0.0056137303
65,65,0.005497552
70,70,0.0053859344
75,75,0.005277901
80,80,0.0051729013
85,85,0.0050706193
90,90,0.0049708607
95,95,0.0048734997
