,step,loss
0,0,0.025000002
5,5,0.0056234905
10,10,0.0034698434
15,15,0.002172444
20,20,0.0013971205
25,25,0.0011670156
30,30,0.0012425015
35,35,0.001262754
40,40,0.0008021223
45,45,0.0012953448
50,50,0.0008536731
55,55,0.00076246436
60,60,0.00082957523
65,65,0.0007502085
70,70,0.00070578244
75,75,0.0018152774
80,80,0.00075580087
85,85,0.001239633
90,90,0.0007067537
95,95,0.0006819805
