iter loss 
0.0 2.3263542999999998 
1.0 0.9901706 
2.0 0.84039783 
3.0 0.751336 
4.0 0.6959901 
5.0 0.6969721 
6.0 0.65438336 
7.0 0.6587135000000001 
8.0 0.64333373 
9.0 0.6358406 
10.0 0.7084929 
11.0 0.64938974 
12.0 0.6475340999999999 
13.0 0.53826034 
14.0 0.53799725 
15.0 0.5440191 
16.0 0.5449605 
17.0 0.5474545 
18.0 0.5489326 
19.0 0.5436679 
20.0 0.5566843 
21.0 0.5502807 
22.0 0.5436966 
23.0 0.54441303 
24.0 0.55635965 
25.0 0.5354996999999999 
26.0 0.5310278 
27.0 0.5275125 
28.0 0.52636105 
29.0 0.5258716999999999 
30.0 0.5256881999999999 
31.0 0.5252438 
32.0 0.5247432 
33.0 0.52455956 
34.0 0.5240057 
