iter error 
0.0 90.3 
0.1 9.709999999999997 
0.2 7.0699999999999985 
0.3 5.949999999999999 
0.4 5.620000000000003 
0.5 4.74 
0.6 4.5999999999999925 
0.7 4.64 
0.8 4.559999999999997 
0.9 3.7999999999999923 
1.0 3.7599999999999967 
1.1 3.8599999999999968 
1.2 3.369999999999995 
1.3 3.7699999999999956 
1.4 3.8900000000000046 
1.5 3.180000000000005 
1.6 3.490000000000004 
1.7 3.1399999999999983 
1.8 2.9200000000000004 
1.9 2.8200000000000003 
2.0 2.72 
2.1 2.5699999999999945 
2.2 2.500000000000002 
2.3 2.4700000000000055 
2.4 2.3800000000000043 
2.5 2.3800000000000043 
2.6 2.3299999999999987 
2.7 2.3499999999999965 
2.8 2.3399999999999976 
2.9 2.32 
3.0 2.32 
3.1 2.2599999999999953 
3.2 2.210000000000001 
3.3 2.210000000000001 
3.4 2.180000000000004 
3.5 2.1499999999999964 
3.6 2.1299999999999986 
3.7 2.1599999999999953 
3.8 2.1299999999999986 
3.9 2.080000000000004 
4.0 2.0499999999999963 
4.1 2.0199999999999996 
4.2 2.090000000000003 
4.3 2.0299999999999985 
4.4 2.0499999999999963 
4.5 2.0100000000000007 
4.6 2.0299999999999985 
4.7 1.980000000000004 
4.8 2.0100000000000007 
4.9 2.0000000000000018 
5.0 2.080000000000004 
5.1 2.0100000000000007 
5.2 1.970000000000005 
5.3 2.0000000000000018 
5.4 2.0000000000000018 
5.5 1.959999999999995 
5.6 1.9900000000000029 
5.7 1.980000000000004 
5.8 2.0199999999999996 
5.9 1.9399999999999973 
