iter error 
0.0 88.66000026464462 
1.0 36.55000329017639 
2.0 29.37000393867494 
3.0 26.12999677658081 
4.0 24.000000953674316 
5.0 23.82999658584596 
6.0 23.520004749298096 
7.0 22.92000055313109 
8.0 22.179996967315674 
9.0 21.06999158859253 
10.0 22.200000286102295 
11.0 21.790003776550293 
12.0 21.400004625320435 
13.0 18.54999661445619 
14.0 18.070000410079956 
15.0 18.03000569343567 
16.0 18.100005388259888 
17.0 17.919999361038194 
18.0 17.910003662109375 
19.0 18.620002269744873 
20.0 18.000000715255737 
21.0 18.340003490447998 
22.0 18.28999519348146 
23.0 17.86999702453612 
24.0 17.849999666213975 
25.0 17.490005493164062 
26.0 17.299997806549058 
27.0 17.270004749298096 
28.0 17.07000732421875 
29.0 17.189997434616103 
30.0 17.17000007629396 
31.0 17.199993133544922 
32.0 17.14000701904297 
33.0 17.160004377365112 
34.0 17.18000173568727 
