iter loss 
0.0 2.4386080000000003 
0.1 0.81932276 
0.2 0.64759487 
0.3 0.56050843 
0.4 0.50189966 
0.5 0.45269942 
0.6 0.4584427 
0.7 0.4269093 
0.8 0.43464200000000003 
0.9 0.43486935 
1.0 0.40581894 
1.1 0.41259049999999997 
1.2 0.4016447 
1.3 0.40256262 
1.4 0.3774579 
1.5 0.39653236 
1.6 0.3849305 
1.7 0.38538486 
1.8 0.39951104 
1.9 0.36274856 
2.0 0.3989184 
2.1 0.38848868 
2.2 0.34693056 
2.3 0.36771035 
2.4 0.3649728 
2.5 0.38293356 
2.6 0.3564914 
2.7 0.37054688 
2.8 0.37735359999999996 
2.9 0.37959522 
3.0 0.3726656 
3.1 0.35824305 
3.2 0.35233662 
3.3 0.29270142 
3.4 0.2876402 
3.5 0.28746554 
3.6 0.28887323 
3.7 0.29133537 
3.8 0.2949895 
3.9 0.2946606 
4.0 0.29929212 
4.1 0.30012125 
4.2 0.30210882 
4.3 0.30433622 
4.4 0.30510587 
4.5 0.3067742 
4.6 0.30754527 
4.7 0.31045097 
4.8 0.31249624 
4.9 0.31282115 
