iter error 
0.0 91.39000028371811 
0.1 38.189995288848884 
0.2 28.380000591278076 
0.3 24.819999933242798 
0.4 22.40999937057495 
0.5 20.9499955177307 
0.6 19.980001449584947 
0.7 18.670004606246962 
0.8 18.159997463226304 
0.9 17.699992656707764 
1.0 16.590005159378038 
1.1 16.899996995925903 
1.2 16.78999662399292 
1.3 16.29999876022339 
1.4 15.88999629020691 
1.5 15.289992094039931 
1.6 15.65999984741211 
1.7 14.46000337600708 
1.8 15.520000457763672 
1.9 15.230000019073486 
2.0 15.469998121261597 
2.1 14.689999818801866 
2.2 15.069997310638442 
2.3 14.550000429153428 
2.4 14.810001850128174 
2.5 14.519995450973525 
2.6 14.16000127792357 
2.7 14.21000361442566 
2.8 14.469993114471436 
2.9 14.610004425048828 
3.0 13.80000114440918 
3.1 13.270008563995361 
3.2 14.119994640350342 
3.3 11.660003662109375 
3.4 11.37000322341919 
3.5 11.230003833770752 
3.6 11.499994993209839 
3.7 11.180001497268691 
3.8 11.360007524490356 
3.9 11.489993333816528 
4.0 11.28000020980835 
4.1 11.390000581741333 
4.2 11.629998683929443 
4.3 11.419999599456801 
4.4 11.470001935958862 
4.5 11.289995908737183 
4.6 11.709994077682495 
4.7 11.580008268356309 
4.8 11.37000322341919 
4.9 11.640006303787231 
