iter error 
0.0 92.61 
0.1 9.940000000000005 
0.2 7.779999999999998 
0.3 6.05 
0.4 5.469999999999997 
0.5 4.700000000000005 
0.6 4.900000000000004 
0.7 4.610000000000003 
0.8 4.359999999999998 
0.9 3.9699999999999958 
1.0 3.8699999999999957 
1.1 3.7799999999999945 
1.2 3.639999999999999 
1.3 3.710000000000002 
1.4 4.049999999999998 
1.5 3.3599999999999963 
1.6 3.280000000000005 
1.7 2.6599999999999957 
1.8 2.649999999999997 
1.9 2.510000000000001 
2.0 2.4700000000000055 
2.1 2.529999999999999 
2.2 2.3499999999999965 
2.3 2.500000000000002 
2.4 2.4499999999999966 
2.5 2.510000000000001 
2.6 2.3900000000000032 
2.7 2.500000000000002 
2.8 2.3299999999999987 
2.9 2.3299999999999987 
3.0 2.4900000000000033 
3.1 2.629999999999999 
3.2 2.410000000000001 
3.3 2.2700000000000053 
3.4 2.3900000000000032 
3.5 2.1700000000000053 
3.6 2.0499999999999963 
3.7 2.0199999999999996 
3.8 1.980000000000004 
3.9 1.8900000000000028 
4.0 2.0100000000000007 
4.1 1.959999999999995 
4.2 1.9000000000000017 
4.3 1.9299999999999984 
4.4 1.8299999999999983 
4.5 1.8000000000000016 
4.6 1.759999999999995 
4.7 1.8000000000000016 
4.8 1.8299999999999983 
4.9 1.8199999999999994 
5.0 1.959999999999995 
5.1 1.870000000000005 
5.2 1.770000000000005 
5.3 1.8399999999999972 
5.4 1.8199999999999994 
5.5 1.8000000000000016 
5.6 1.7900000000000027 
5.7 1.759999999999995 
5.8 1.8000000000000016 
5.9 1.8000000000000016 
