iter error 
0.0 87.35000044107437 
0.1 35.00999808311461 
0.2 26.20999813079834 
0.3 22.450000047683716 
0.4 20.920002460479736 
0.5 19.550001621246352 
0.6 18.64000558853151 
0.7 18.250000476837158 
0.8 18.099993467330947 
0.9 16.360008716583252 
1.0 17.200005054473877 
1.1 15.850001573562622 
1.2 15.97000360488893 
1.3 15.559995174407945 
1.4 15.83999395370482 
1.5 15.600001811981201 
1.6 15.530002117156982 
1.7 15.059995651245131 
1.8 14.670002460479736 
1.9 14.989995956420913 
2.0 14.279997348785415 
2.1 14.420002698898315 
2.2 14.48000073432921 
2.3 14.530003070831299 
2.4 14.589995145797744 
2.5 14.519995450973525 
2.6 14.349997043609633 
2.7 13.880002498626709 
2.8 14.16000127792357 
2.9 13.459998369216919 
3.0 13.929998874664292 
3.1 14.23999667167665 
3.2 13.909995555877686 
3.3 11.19999885559082 
3.4 11.119997501373291 
3.5 11.37000322341919 
3.6 11.140000820159912 
3.7 11.310005187988281 
3.8 11.339998245239258 
3.9 11.28000020980835 
4.0 11.449992656707764 
4.1 11.410009860992432 
4.2 11.419999599456801 
4.3 11.190003156661987 
4.4 11.140000820159912 
4.5 11.400002241134644 
4.6 11.359995603561401 
4.7 11.180001497268691 
4.8 11.30000352859497 
4.9 11.160004138946533 
