iter loss 
0.0 2.336611 
1.0 1.0240616 
2.0 0.8446019 
3.0 0.7484491999999999 
4.0 0.69939244 
5.0 0.7011086999999999 
6.0 0.69493383 
7.0 0.68622315 
8.0 0.66393024 
9.0 0.6375894 
10.0 0.68247044 
11.0 0.65083146 
12.0 0.64004683 
13.0 0.55218303 
14.0 0.5487145 
15.0 0.5474456 
16.0 0.54415524 
17.0 0.5442215 
18.0 0.5451666000000001 
19.0 0.5594357 
20.0 0.5493018 
21.0 0.55101097 
22.0 0.5518999 
23.0 0.5446664999999999 
24.0 0.54697603 
25.0 0.5353057 
26.0 0.53152865 
27.0 0.5293498999999999 
28.0 0.5279726 
29.0 0.52648413 
30.0 0.5254058000000001 
31.0 0.52457595 
32.0 0.5243205 
33.0 0.52355766 
34.0 0.52329934 
