iter error 
0.0 89.52 
0.1 19.010000000000005 
0.2 8.530000000000005 
0.3 6.489999999999996 
0.4 5.879999999999996 
0.5 5.500000000000005 
0.6 5.320000000000002 
0.7 4.749999999999998 
0.8 5.010000000000003 
0.9 4.459999999999997 
1.0 3.93 
1.1 3.610000000000002 
1.2 3.739999999999999 
1.3 3.410000000000002 
1.4 3.6499999999999977 
1.5 3.420000000000001 
1.6 3.720000000000001 
1.7 2.8000000000000025 
1.8 2.9000000000000026 
1.9 2.8000000000000025 
2.0 2.729999999999999 
2.1 2.52 
2.2 2.9000000000000026 
2.3 2.5800000000000045 
2.4 2.629999999999999 
2.5 2.959999999999996 
2.6 2.829999999999999 
2.7 2.7000000000000024 
2.8 2.749999999999997 
2.9 2.5699999999999945 
3.0 2.749999999999997 
3.1 2.7900000000000036 
3.2 2.510000000000001 
3.3 2.72 
3.4 2.539999999999998 
3.5 2.5699999999999945 
3.6 2.500000000000002 
3.7 2.300000000000002 
3.8 2.180000000000004 
3.9 2.090000000000003 
4.0 2.059999999999995 
4.1 2.0000000000000018 
4.2 1.959999999999995 
4.3 1.849999999999996 
4.4 1.9100000000000006 
4.5 1.9299999999999984 
4.6 1.849999999999996 
4.7 1.849999999999996 
4.8 1.849999999999996 
4.9 1.8100000000000005 
5.0 1.8900000000000028 
5.1 1.8199999999999994 
5.2 1.859999999999995 
5.3 1.8399999999999972 
5.4 1.8000000000000016 
5.5 1.8900000000000028 
5.6 1.8900000000000028 
5.7 1.880000000000004 
5.8 1.9499999999999962 
5.9 1.8299999999999983 
