iter error 
0.0 92.25 
0.1 8.730000000000004 
0.2 6.830000000000003 
0.3 7.889999999999997 
0.4 5.400000000000005 
0.5 5.289999999999995 
0.6 4.549999999999999 
0.7 4.259999999999997 
0.8 3.7799999999999945 
0.9 4.159999999999997 
1.0 3.959999999999997 
1.1 4.179999999999994 
1.2 3.4499999999999975 
1.3 3.599999999999992 
1.4 3.639999999999999 
1.5 3.310000000000002 
1.6 3.069999999999995 
1.7 2.759999999999996 
1.8 2.610000000000001 
1.9 2.539999999999998 
2.0 2.4700000000000055 
2.1 2.4499999999999966 
2.2 2.5900000000000034 
2.3 2.5900000000000034 
2.4 2.4599999999999955 
2.5 2.52 
2.6 2.3499999999999965 
2.7 1.980000000000004 
2.8 2.3499999999999965 
2.9 2.2399999999999975 
3.0 2.2599999999999953 
3.1 2.300000000000002 
3.2 2.2299999999999986 
3.3 2.2800000000000042 
3.4 1.9299999999999984 
3.5 2.1199999999999997 
3.6 2.090000000000003 
3.7 1.9199999999999995 
3.8 1.9299999999999984 
3.9 1.9000000000000017 
4.0 1.849999999999996 
4.1 1.8199999999999994 
4.2 1.8299999999999983 
4.3 1.759999999999995 
4.4 1.7100000000000004 
4.5 1.7199999999999993 
4.6 1.770000000000005 
4.7 1.7299999999999982 
4.8 1.759999999999995 
4.9 1.7100000000000004 
5.0 1.7299999999999982 
5.1 1.759999999999995 
5.2 1.7000000000000015 
5.3 1.7299999999999982 
5.4 1.7299999999999982 
5.5 1.7000000000000015 
5.6 1.5999999999999903 
5.7 1.639999999999997 
5.8 1.6700000000000048 
5.9 1.6199999999999992 
