iter error 
0.0 91.18999987840652 
0.1 28.65999937057495 
0.2 22.21000194549559 
0.3 19.029998779296875 
0.4 17.33999252319336 
0.5 15.090000629425049 
0.6 15.369999408721924 
0.7 14.450007677078247 
0.8 14.849996566772447 
0.9 14.610004425048828 
1.0 13.809996843338013 
1.1 14.300000667572007 
1.2 13.119995594024658 
1.3 13.559997081756592 
1.4 12.849998474121094 
1.5 13.110005855560303 
1.6 12.69000768661499 
1.7 12.569999694824219 
1.8 13.040000200271592 
1.9 11.7799937725067 
2.0 12.699997425079346 
2.1 12.560003995895386 
2.2 11.070001125335708 
2.3 11.680001020431519 
2.4 11.730003356933594 
2.5 12.340003252029419 
2.6 11.460000276565552 
2.7 11.669999361038208 
2.8 12.180006504058838 
2.9 11.709994077682495 
3.0 12.029999494552612 
3.1 11.640006303787231 
3.2 11.070001125335708 
3.3 9.399998188018799 
3.4 9.149998426437378 
3.5 9.109991788864136 
3.6 8.929997682571411 
3.7 8.770000934600844 
3.8 8.78000259399414 
3.9 8.760005235671997 
4.0 8.85000228881836 
4.1 8.78999829292296 
4.2 8.62000584602356 
4.3 8.66999626159668 
4.4 8.78999829292296 
4.5 8.760005235671997 
4.6 8.749991655349717 
4.7 8.700001239776597 
4.8 8.659994602203355 
4.9 8.760005235671997 
