iter loss 
0.0 2.6286937999999997 
0.1 0.575068 
0.2 0.33060908 
0.3 0.25428307 
0.4 0.21244775 
0.5 0.17942370000000002 
0.6 0.16970307 
0.7 0.16295391 
0.8 0.15957361 
0.9 0.13390154 
1.0 0.13059573 
1.1 0.13608804 
1.2 0.11418529 
1.3 0.12959446 
1.4 0.13194324 
1.5 0.11048639 
1.6 0.11311413 
1.7 0.10104561599999999 
1.8 0.0950904 
1.9 0.0916915 
2.0 0.08862127 
2.1 0.08664746 
2.2 0.085384816 
2.3 0.08362631 
2.4 0.08273519 
2.5 0.08117149 
2.6 0.08041060000000001 
2.7 0.07981824 
2.8 0.07917271599999999 
2.9 0.07866219 
3.0 0.0777302 
3.1 0.07687437 
3.2 0.07624752 
3.3 0.07545529 
3.4 0.07472086 
3.5 0.07398944 
3.6 0.07344127 
3.7 0.0737158 
3.8 0.07301155 
3.9 0.073039085 
4.0 0.07235716 
4.1 0.07184397 
4.2 0.070855506 
4.3 0.07053546 
4.4 0.070361644 
4.5 0.06982707 
4.6 0.0704047 
4.7 0.06968235 
4.8 0.06966705599999999 
4.9 0.06923093 
5.0 0.06888878 
5.1 0.06790667 
5.2 0.06845213 
5.3 0.0679125 
5.4 0.06841964 
5.5 0.06852162 
5.6 0.06799435 
5.7 0.06748701 
5.8 0.06760238 
5.9 0.06653306 
