iter loss 
0.0 2.341638 
1.0 0.94448245 
2.0 0.8009736 
3.0 0.7277292 
4.0 0.6944013000000001 
5.0 0.69942904 
6.0 0.70633703 
7.0 0.70506495 
8.0 0.6658119 
9.0 0.6774621999999999 
10.0 0.71552384 
11.0 0.61784196 
12.0 0.65988076 
13.0 0.58316076 
14.0 0.5981749 
15.0 0.599223 
16.0 0.59428734 
17.0 0.5838388000000001 
18.0 0.5707621999999999 
19.0 0.59843904 
20.0 0.5822624 
21.0 0.56360894 
22.0 0.579803 
23.0 0.5884503000000001 
24.0 0.5845357 
25.0 0.5320319 
26.0 0.53441495 
27.0 0.5319578 
28.0 0.5304019 
29.0 0.5320292 
30.0 0.5305446999999999 
31.0 0.5295835 
32.0 0.53425664 
33.0 0.53003377 
34.0 0.5307752 
