iter error 
0.0 87.45000064373016 
1.0 34.83999967575072 
2.0 29.150003194808946 
3.0 25.65000057220459 
4.0 23.839998245239272 
5.0 23.549997806549058 
6.0 22.080004215240493 
7.0 22.570002079010024 
8.0 22.039997577667236 
9.0 20.9600031375885 
10.0 23.769998550415053 
11.0 21.780002117156982 
12.0 21.36999368667604 
13.0 17.93000102043152 
14.0 17.820006608963013 
15.0 18.019998073577867 
16.0 18.0299937725067 
17.0 18.140000104904175 
18.0 18.400001525878906 
19.0 17.980003356933594 
20.0 18.410003185272217 
21.0 18.140000104904175 
22.0 17.56000518798828 
23.0 17.730009555816665 
24.0 18.410003185272217 
25.0 17.779999971389756 
26.0 17.530000209808335 
27.0 17.39999651908876 
28.0 17.39999651908876 
29.0 17.320001125335708 
30.0 17.350006103515625 
31.0 17.43000149726869 
32.0 17.50000119209291 
33.0 17.46999621391295 
34.0 17.449998855590806 
