iter error 
0.0 89.56000059843063 
1.0 32.94999599456787 
2.0 27.730000019073486 
3.0 24.899995326995835 
4.0 23.940002918243408 
5.0 23.73999953269957 
6.0 23.570001125335708 
7.0 24.160003662109375 
8.0 22.79000282287599 
9.0 22.450000047683716 
10.0 24.150007963180556 
11.0 20.73000073432921 
12.0 21.969997882843018 
13.0 19.529992341995225 
14.0 20.300000905990586 
15.0 20.289999246597304 
16.0 19.890004396438584 
17.0 19.589996337890625 
18.0 19.090002775192275 
19.0 20.079994201660156 
20.0 19.650000333786025 
21.0 19.29000616073607 
22.0 19.729995727539062 
23.0 19.509994983673096 
24.0 19.78000402450563 
25.0 18.11000108718872 
26.0 17.980003356933594 
27.0 17.95999407768251 
28.0 17.80999898910521 
29.0 17.840003967285156 
30.0 17.95999407768251 
31.0 17.900002002716064 
32.0 17.919999361038194 
33.0 17.779999971389756 
34.0 17.7999973297119 
