iter error 
0.0 89.9899996817112 
0.1 48.6799955368042 
0.2 40.219992399215705 
0.3 34.18999910354614 
0.4 29.659998416900635 
0.5 26.990002393722534 
0.6 25.599998235702515 
0.7 22.72999882698059 
0.8 20.88000178337097 
0.9 19.9299991130829 
1.0 19.8699951171875 
1.1 19.20000314712523 
1.2 18.54999661445619 
1.3 18.08000802993773 
1.4 17.11000204086305 
1.5 17.52001047134401 
1.6 16.77999496459961 
1.7 16.83999896049501 
1.8 16.15999937057495 
1.9 17.510002851486206 
2.0 15.830004215240493 
2.1 16.320002079010024 
2.2 16.15999937057495 
2.3 16.43000841140747 
2.4 15.500003099441528 
2.5 14.960002899169922 
2.6 14.780008792877211 
2.7 14.5699977874756 
2.8 14.63999748229979 
2.9 14.859998226165757 
3.0 15.340006351470961 
3.1 14.390003681182861 
3.2 14.219999313354478 
3.3 10.74000597000122 
3.4 10.81000566482544 
3.5 10.91998815536499 
3.6 10.850000381469727 
3.7 10.920000076293945 
3.8 10.880005359649658 
3.9 10.910004377365112 
4.0 11.000001430511475 
4.1 11.049997806549058 
4.2 11.09999418258667 
4.3 10.7200026512146 
4.4 10.699999332427979 
4.5 10.69000363349916 
4.6 10.699999332427979 
4.7 10.719996690750122 
4.8 10.729998350143433 
4.9 10.699999332427979 
