iter loss 
0.0 2.3869176 
0.1 1.0689499 
0.2 0.8176789000000001 
0.3 0.7238736 
0.4 0.6507764 
0.5 0.60875833 
0.6 0.5821739 
0.7 0.5453521 
0.8 0.5382718000000001 
0.9 0.52449405 
1.0 0.50789654 
1.1 0.5067441 
1.2 0.5037176999999999 
1.3 0.47229117 
1.4 0.47160262 
1.5 0.45777616 
1.6 0.45700425 
1.7 0.43100253 
1.8 0.4642501 
1.9 0.45314319999999997 
2.0 0.46929899999999997 
2.1 0.43889588 
2.2 0.4374675 
2.3 0.43251032 
2.4 0.43131566 
2.5 0.43324256 
2.6 0.42772609999999994 
2.7 0.4258973 
2.8 0.42837109999999995 
2.9 0.4223923 
3.0 0.41297325 
3.1 0.39890432 
3.2 0.42936844 
3.3 0.34091046 
3.4 0.33917135 
3.5 0.33982617 
3.6 0.34213156 
3.7 0.34684995 
3.8 0.35008797 
3.9 0.35403934 
4.0 0.3543033 
4.1 0.35367 
4.2 0.36074138 
4.3 0.35902014 
4.4 0.36104813 
4.5 0.36360592 
4.6 0.36991409999999997 
4.7 0.3711236 
4.8 0.37034744 
4.9 0.37779123 
