iter loss 
0.0 2.591442 
0.1 0.32559136 
0.2 0.23136753 
0.3 0.25738427 
0.4 0.17840299 
0.5 0.18140233 
0.6 0.15143076 
0.7 0.1460635 
0.8 0.13101372 
0.9 0.1323759 
1.0 0.12830295 
1.1 0.13688129 
1.2 0.12146757 
1.3 0.11940987 
1.4 0.115325965 
1.5 0.10728608 
1.6 0.09890288 
1.7 0.089812316 
1.8 0.08732306 
1.9 0.086773634 
2.0 0.079967685 
2.1 0.08282128 
2.2 0.08268898 
2.3 0.08400348 
2.4 0.0794729 
2.5 0.08081448 
2.6 0.07666529 
2.7 0.071499825 
2.8 0.07403453 
2.9 0.07525347 
3.0 0.07384173599999999 
3.1 0.076206796 
3.2 0.0756618 
3.3 0.0723304 
3.4 0.06712288 
3.5 0.06988141 
3.6 0.07124242 
3.7 0.06691337 
3.8 0.0625256 
3.9 0.060418382 
4.0 0.059899073 
4.1 0.05955598 
4.2 0.059017735999999994 
4.3 0.057404015 
4.4 0.056637194 
4.5 0.056486327 
4.6 0.05713772 
4.7 0.056542695 
4.8 0.05771354 
4.9 0.05590693 
5.0 0.056790232999999996 
5.1 0.056903813 
5.2 0.055814012999999996 
5.3 0.05513712 
5.4 0.056087665 
5.5 0.055517785 
5.6 0.054608703 
5.7 0.054152552 
5.8 0.054632775 
5.9 0.053697992 
