iter error 
0.0 88.510000705719 
1.0 31.84000253677368 
2.0 26.66000127792357 
3.0 25.540000200271592 
4.0 24.37000274658203 
5.0 23.1599986553192 
6.0 24.400001764297485 
7.0 22.72999882698059 
8.0 23.139995336532593 
9.0 21.84000015258789 
10.0 21.27999663352965 
11.0 21.240001916885376 
12.0 21.32999897003174 
13.0 19.550001621246352 
14.0 19.44000124931334 
15.0 19.23999786376953 
16.0 20.469999313354478 
17.0 19.9299991130829 
18.0 19.76000070571901 
19.0 19.160002470016494 
20.0 19.069993495941148 
21.0 19.62000131607057 
22.0 19.37000155448915 
23.0 19.170010089874268 
24.0 19.449996948242188 
25.0 18.290007114410415 
26.0 18.57000589370729 
27.0 18.459999561309814 
28.0 18.019998073577867 
29.0 18.7899947166443 
30.0 18.899995088577256 
31.0 18.279999494552612 
32.0 18.03000569343567 
33.0 18.58999133110045 
34.0 18.58999133110045 
